"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"3300060607_286__dereplicated_genomes","d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__","-","-","-","-","-","GCA_017885175.1","d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__SSS58A;s__SSS58A sp017885175","80.2","0.575","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_002403295.1, s__SSS58A sp002403295...","88.58","0.91941","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060607_296__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__CADEEN01;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_022841885.1, s__CADEEN01 sp0228418...","87.57","0.96408","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060607_313__dereplicated_genomes","d__Bacteria;p__Omnitrophota;c__Koll11;o__GIF10;f__Profunditerraquicolaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","78.79","0.82934","-"
"3300060607_333__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__RBG-13-43-22;o__RBG-13-43-22;f__RBG-13-43-22;g__;s__","-","-","-","-","-","GCA_016219065.1","d__Bacteria;p__Desulfobacterota;c__RBG-13-43-22;o__RBG-13-43-22;f__RBG-13-43-22;g__JACRCK01;s__JACRCK01 sp016219065","78.38","0.35","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","62.28","0.8249","-"
"3300060607_343__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__","-","-","-","-","-","GCA_016932095.1","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__Fen-1362 sp016932095","77.47","0.283","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_003141275.1, s__Fen-1362 sp0031412...","84.91","0.93689","-"
"3300060607_352__dereplicated_genomes","d__Bacteria;p__QNDG01;c__QNDG01;o__QNDG01;f__JABMRT01;g__JABMRT01;s__","-","-","-","-","-","GCA_013202295.1","d__Bacteria;p__QNDG01;c__QNDG01;o__QNDG01;f__JABMRT01;g__JABMRT01;s__JABMRT01 sp013202295","78.57","0.519","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","83.59","0.91543","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060607_358__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__PFJX01;s__","-","-","-","-","-","GCA_023258975.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__PFJX01;s__PFJX01 sp023258975","85.68","0.587","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_002784045.1, s__PFJX01 sp002784045...","93.51","0.97985","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060607_365__dereplicated_genomes","d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__Fen-1118;s__","-","-","-","-","-","GCA_003159055.1","d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__Fen-1118;s__Fen-1118 sp003159055","77.42","0.238","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_017881285.1, s__Fen-1118 sp0178812...","64.49","0.93071","-"
"3300060607_36__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__UBA3254;s__","-","-","-","-","-","GCA_017860765.1","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__UBA3254;s__UBA3254 sp017860765","77","0.219","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","73.23","0.93959","-"
"3300060607_371__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__CG2-30-64-16;f__CG2-30-64-16;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","80.38","0.86808","-"
"3300060607_386__dereplicated_genomes","d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__","-","-","-","-","-","GCA_009694305.1","d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__Gaiella sp009694305","79.75","0.432","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCF_003351045.1, s__Gaiella occulta, 9...","62.14","0.95559","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060607_397__dereplicated_genomes","d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__JAGGTI01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","94.14","0.91326","-"
"3300060607_398__dereplicated_genomes","d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__WJJR01;f__WJJR01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","72.49","0.84249","-"
"3300060607_425__dereplicated_genomes","d__Bacteria;p__Myxococcota;c__B64-G9;o__B64-G9;f__B64-G9;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","89.22","0.71441","-"
"3300060607_429__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_017881085.1, s__Bradyrhizobium sp0...","75.09","0.97992","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060607_437__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","75.59","0.83101","-"
"3300060607_439__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electronema;s__","-","-","-","-","-","GCA_004284765.1","d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electronema;s__Electronema sp004284765","92.71","0.807","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_002413355.1, s__Electronema sp0024...","80.14","0.99378","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060607_448__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","82.13","0.8133","-"
"3300060607_454__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","79.76","0.93984","-"
"3300060607_468__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","56.84","0.88137","Genome has more than 11.7% of markers with multiple hits"
"3300060607_469__dereplicated_genomes","d__Bacteria;p__Omnitrophota;c__Koll11;o__GIF10;f__Profunditerraquicolaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","73.84","0.83641","-"
"3300060607_497__dereplicated_genomes","d__Bacteria;p__Desulfobacterota_F;c__DSWW01;o__DSWW01;f__DSWW01;g__S015-6;s__","-","-","-","-","-","GCA_015486285.1","d__Bacteria;p__Desulfobacterota_F;c__DSWW01;o__DSWW01;f__DSWW01;g__S015-6;s__S015-6 sp015486285","78.24","0.342","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","86.16","0.90557","-"
"3300060607_554__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","87.13","0.86864","-"
"3300060607_592__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","71.7","0.81591","-"
"3300060607_595__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__UBA12454;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","81.41","0.88553","-"
"3300060607_601__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__UBA2199;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_018262835.1, s__UBA2199 sp01826283...","85.44","0.92612","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060607_613__dereplicated_genomes","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__UMGS1260;f__UMGS1260;g__Pelorhabdus;s__","-","-","-","-","-","GCF_018835585.1","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__UMGS1260;f__UMGS1260;g__Pelorhabdus;s__Pelorhabdus rhamnosifermentans","78.4","0.292","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","83.38","0.92167","Genome has more than 13.3% of markers with multiple hits"
"3300060607_620__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAAYZQ01;f__JAAYZQ01;g__JAFGOG01;s__","-","-","-","-","-","GCA_016926595.1","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAAYZQ01;f__JAAYZQ01;g__JAFGOG01;s__JAFGOG01 sp016926595","84.18","0.497","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","84.99","0.95117","-"
"3300060607_640__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","77","0.79572","-"
"3300060607_671__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Fen-1064;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","79.09","0.87457","-"
"3300060607_787__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA4778;g__UBA4054;s__","-","-","-","-","-","GCA_002383495.1","d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA4778;g__UBA4054;s__UBA4054 sp002383495","79","0.338","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","84.13","0.85218","-"
"3300060607_795__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__JAKAGC01;s__","-","-","-","-","-","GCA_020355945.1","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__JAKAGC01;s__JAKAGC01 sp020355945","79.39","0.394","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_011772425.1, s__JAKAGC01 sp0117724...","85.16","0.93053","-"
"3300060607_805__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__JADGHX01;s__","-","-","-","-","-","GCA_019683695.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__JADGHX01;s__JADGHX01 sp019683695","79.92","0.376","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","90.31","0.93669","-"
"3300060607_809__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Fen-1064;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","79.78","0.87752","-"
"3300060607_842__dereplicated_genomes","d__Bacteria;p__Omnitrophota;c__Koll11;o__GIF10;f__JAMWDD01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","61.45","0.81906","-"
"3300060607_853__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","90.05","0.86302","-"
"3300060607_86__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","77.82","0.88777","-"
"3300060607_874__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__","-","-","-","-","-","-","-","-","-","ANI","classification based on placement in class-level tree","GCA_001795315.1, s__9FT-COMBO-48-23 sp...","76.07","0.94576","-"
"3300060607_877__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__UBA6911;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","77.2","0.93938","-"
"3300060607_907__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__CAIYOL01;s__","-","-","-","-","-","GCA_903927855.1","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__CAIYOL01;s__CAIYOL01 sp903927855","81.71","0.639","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","81.53","0.95302","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060607_908__dereplicated_genomes","d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__2-01-FULL-66-17;f__2-01-FULL-66-17;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","80.32","0.84047","-"
"3300060607_917__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__JACRDG01;s__","-","-","-","-","-","GCA_016218715.1","d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__JACRDG01;s__JACRDG01 sp016218715","85.92","0.781","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","59.6","0.98027","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060607_956__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JACADW01;s__","-","-","-","-","-","GCA_017860075.1","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JACADW01;s__JACADW01 sp017860075","81.84","0.492","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","75.75","0.96483","-"
"3300060607_968__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","78.29","0.79045","-"
"3300060607_994__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__FEB-25;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","85.16","0.95084","-"
"3300067053_1013__dereplicated_genomes","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__JAKLHY01;g__JAKLHY01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","69.61","0.88121","-"
"3300067053_1014__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JACADW01;s__","-","-","-","-","-","GCA_017860075.1","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JACADW01;s__JACADW01 sp017860075","82.04","0.613","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","73.58","0.96943","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300067053_1052__dereplicated_genomes","d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__FEN-1388;g__FEN-1388;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","78.81","0.95152","-"
"3300067053_1068__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","60.58","0.75312","Genome has more than 10.0% of markers with multiple hits"
"3300067053_1092__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__UBA12454;g__JAFGGI01;s__","-","-","-","-","-","GCA_016930635.1","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__UBA12454;g__JAFGGI01;s__JAFGGI01 sp016930635","78.87","0.487","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","83.32","0.91641","-"
"3300067053_1128__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__LJUQ01;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","79.05","0.91061","-"
"3300067053_1134__dereplicated_genomes","d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__JAEZGP01;s__","-","-","-","-","-","GCA_020027875.1","d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__JAEZGP01;s__JAEZGP01 sp020027875","78.42","0.254","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_023437285.1, s__JAEZGP01 sp0234372...","85.9","0.94798","-"
"3300067053_1148__dereplicated_genomes","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Rectinemataceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","85.26","0.8489","-"
"3300067053_1163__dereplicated_genomes","d__Bacteria;p__Omnitrophota;c__Koll11;o__Velamenicoccales;f__Velamenicoccaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","81.11","0.81033","-"
"3300067053_1173__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","78.57","0.82563","-"
"3300067053_119__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA10428;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","71.82","0.87824","-"
"3300067053_1200__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_014894455.1, s__RBG-16-66-30 sp014...","72.31","0.9491","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300067053_1220__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__FEN-336;s__","-","-","-","-","-","GCA_003155335.1","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__FEN-336;s__FEN-336 sp003155335","78.88","0.379","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","79.86","0.91209","-"
"3300067053_1244__dereplicated_genomes","d__Bacteria;p__SZUA-182;c__SZUA-182;o__DTGQ01;f__JAFGSM01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","72.15","0.8408","-"
"3300067053_1275__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__JAFGEJ01;s__","-","-","-","-","-","GCA_016929245.1","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__JAFGEJ01;s__JAFGEJ01 sp016929245","80.55","0.53","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016931655.1, s__JAFGEJ01 sp0169316...","67.59","0.95043","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300067053_1281__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__CAIYOL01;s__","-","-","-","-","-","GCA_903927855.1","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__CAIYOL01;s__CAIYOL01 sp903927855","85.95","0.665","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","68.96","0.97668","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300067053_1318__dereplicated_genomes","d__Bacteria;p__QNDG01;c__QNDG01;o__QNDG01;f__DTFT01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","89.31","0.74078","-"
"3300067053_1326__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__JAAYVZ01;s__","-","-","-","-","-","GCA_012516935.1","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__JAAYVZ01;s__JAAYVZ01 sp012516935","77.21","0.224","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","93.33","0.85604","-"
"3300067053_1328__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__FEN-299;s__","-","-","-","-","-","GCA_017883185.1","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__FEN-299;s__FEN-299 sp017883185","80.04","0.446","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_021779795.1, s__FEN-299 sp02177979...","82.44","0.91974","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300067053_1331__dereplicated_genomes","d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__Chitinivibrionales;f__FEN-1185;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","88.44","0.78672","-"
"3300067053_1332__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAFNAG01;s__","-","-","-","-","-","GCA_020072565.1","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAFNAG01;s__JAFNAG01 sp020072565","78.95","0.263","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","77.64","0.90056","-"
"3300067053_1337__dereplicated_genomes","d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__JAAZOE01;g__JAAZOE01;s__","-","-","-","-","-","GCA_012797915.1","d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__JAAZOE01;g__JAAZOE01;s__JAAZOE01 sp012797915","85.19","0.682","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","81.49","0.98311","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300067053_1341__dereplicated_genomes","d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__JAGGTI01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","83.5","0.911","-"
"3300067053_1350__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA4778;g__UBA4054;s__","-","-","-","-","-","GCA_002383495.1","d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA4778;g__UBA4054;s__UBA4054 sp002383495","90.18","0.793","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","75.07","0.96615","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300067053_1357__dereplicated_genomes","d__Bacteria;p__Desulfobacterota_F;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__","-","-","-","-","-","GCA_002311635.1","d__Bacteria;p__Desulfobacterota_F;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__UBA1163 sp002311635","79.12","0.295","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_002780715.1, s__UBA1163 sp00278071...","65.06","0.93216","Genome has more than 13.3% of markers with multiple hits"
"3300067053_1375__dereplicated_genomes","d__Bacteria;p__WOR-3;c__WOR-3;o__SM23-42;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","73.31","0.68619","-"
"3300067053_1381__dereplicated_genomes","d__Bacteria;p__Omnitrophota;c__Koll11;o__Velamenicoccales;f__Velamenicoccaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","68.76","0.79832","-"
"3300067053_1396__dereplicated_genomes","d__Bacteria;p__Desulfobacterota_G;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__PNOF01;s__","-","-","-","-","-","GCA_013824645.1","d__Bacteria;p__Desulfobacterota_G;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__PNOF01;s__PNOF01 sp013824645","77.91","0.229","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","71.54","0.91595","-"
"3300067053_1405__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA4081;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","64.69","0.9065","-"
"3300067053_1424__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__UBA3254;s__","-","-","-","-","-","GCA_903890885.1","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__UBA3254;s__UBA3254 sp903890885","78.61","0.208","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","68.58","0.97059","-"
